rb_index,name,designation,spt,J,ew_ha,log_lha_lbol,ew_is_limit,logratio_is_limit,is_detection,multi_epoch_lowest,teff_K,vsini_kms,vsini_is_limit,fwhm_kms,fwhm_nm,vtan_kms,chi_rb_per_A,logratio_implied_rb,rb_residual_dex,ID,routes,sep_arcsec,ticid,Teff,SpT,TESS sectors,Flares,Rotation,ftic,Lbol,Prot,error_Prot,Amplitude,error_Amplitude,FAP,U,V,W,U_LSR,V_LSR,W_LSR,eU,eV,eW,RVReference,GalacticPopulation,Probability
2,2MASS 1221+02,2MASS J12212770+0257198,L0.0,13.17,5.01,-4.88,False,False,True,True,2300,25,False,40.8166632639171,0.0893523471055549,8.1,2.5804149991616785e-06,-4.888472716482662,-0.0084727164826619,377172800,id+position,0.29820282628897093,377172800,2274,M9.8,46,No,Yes,0.00122,,0.1795,0.00127,0.0235,3e-05,3.13E-110,-9.124,-9.224,-2.935,0.456,1.296,4.075,0.154,0.035,0.012,SIMBAD,THIN-DISK,0.989
3,2MASS 1731+27,2MASS J17312974+2721233,L0.0,12.09,5.99,-4.8,False,False,True,True,2300,15,False,29.698484809834994,0.0650133820611274,15.8,2.5804149991616785e-06,-4.810883619960596,-0.0108836199605963,321695100,id+position,4.883027569157054,321695100,2302,M9.6,"25,26",Yes,No,0.03273,2.7780000000000003e+29,,,,,,-4.527,-29.795,-13.503,5.053,-19.275,-6.493,0.688,0.274,0.189,SIMBAD,THIN-DISK,0.989
11,2MASS 0602+39,2MASS J06023045+3910592,L1.0,12.3,0.49,-6.05,True,True,False,False,2200,9,False,24.489997958350266,0.0536114082633329,,1.8316019178466853e-06,-6.046972830371452,0.0030271696285479,174821904,id+position,0.27609503624282994,174821904,2255,M9.9,19,No,No,0.18677,,,,,,,-12.054,-27.535,-4.367,-2.474,-17.015,2.643,0.691,0.043,0.014,SIMBAD,THIN-DISK,0.987
12,2MASS 1022+58,2MASS J10224821+5825453,L1.0,13.5,3.32,-5.22,False,False,True,True,2200,15,False,29.698484809834994,0.0650133820611274,81.9,1.8316019178466853e-06,-5.216030826695929,0.0039691733040703,357237802,id+position,0.9022217505988042,357237802,2169,L0.5,48,No,Yes,0.00176,,0.4565,0.00848,0.0198,0.00138,1.55E-30,-61.956,-73.224,-9.398,-52.376,-62.704,-2.388,1.098,1.39,0.257,SIMBAD,THIN-DISK,0.865
13,2MASS 1045-01,2MASS J10452400-0149576,L1.0,13.16,0.2,-6.44,True,True,False,True,2200,3,True,21.41588195708969,0.0468818165225451,36.6,1.8316019178466853e-06,-6.436138914735984,0.0038610852640159,62892848,id+position,0.1792351099357892,62892848,2221,L0.2,46,No,No,0.00342,,,,,,,-35.554,-15.624,-14.351,-25.974,-5.104,-7.341,0.248,0.074,0.096,SIMBAD,THIN-DISK,0.987
14,2MASS 1048+01,2MASS J10484281+0111580,L1.0,12.92,1.08,-5.71,False,False,True,True,2200,17,False,31.74019533651297,0.0694829200654765,37.9,1.8316019178466853e-06,-5.703745154913016,0.0062548450869837,281706120,id+position,0.540544931708692,281706120,2196,L0.4,"45,46",No,Yes,0.00446,,0.2365,0.00107,0.006,0.00039,1.57E-14,-18.747,-21.172,-21.239,-9.167,-10.652,-14.229,0.211,0.052,0.052,SIMBAD,THIN-DISK,0.984
15,2MASS 1300+19,2MASS J13004255+1912354,L1.0,12.72,0.2,-6.44,True,True,False,True,2200,10,False,25.238858928247925,0.0552507506290586,97.9,1.8316019178466853e-06,-6.436138914735984,0.0038610852640159,149565536,id+position,0.07996711174036295,149565536,2152,L0.7,23,No,No,0.00444,,,,,,,-0.647,-95.738,-26.704,8.933,-85.218,-19.694,,1.35,0.175,SIMBAD,THIN/THICK-TRANSITION,0.429
22,2MASS 1807+50,2MASS J18071593+5015316,L1.5,12.93,3.79,-5.26,False,False,True,False,2140,76,False,108.45257027844016,0.2374150880818179,11.2,1.4869231940078075e-06,-5.249072254112578,0.0109277458874217,298554585,id+position,0.14173207243594144,298554585,2176,L0.5,"14,25,26,40,41",No,No,0.76732,,,,,,,9.058,-0.618,-3.27,18.638,9.902,3.74,0.385,0.4,0.21,SIMBAD,THIN-DISK,0.988
24,2MASS 0828-13,2MASS J08283419-1309198,L2.0,12.8,0.2,-6.63,True,True,False,True,2080,33,False,50.7487930890972,0.1110949159652065,,1.2004214601991712e-06,-6.619636253535576,0.0103637464644235,926898,id+position,0.14759393699769108,926898,2088,L1.1,"7,8,34",No,No,0.20534,,,,,,,-33.295,-16.134,-18.441,-23.715,-5.614,-11.431,0.631,0.065,0.047,SIMBAD,THIN-DISK,0.984
25,2MASS 0921-21,2MASS J09211410-2104446,L2.0,12.78,0.32,-6.42,True,True,False,False,2080,15,False,29.698484809834994,0.0650133820611274,57.8,1.2004214601991712e-06,-6.415516270879651,0.0044837291203485,380532990,id+position,0.8181783209585951,380532990,2032,L1.5,"8,35",No,No,0.0518,,,,,,,20.752,-96.333,4.214,30.332,-85.813,11.224,0.401,1.806,0.752,SIMBAD,THIN-DISK,0.996
26,2MASS 1155-37,2MASS J11553952-3727350,L2.0,12.81,1.0,-5.96,False,False,True,True,2080,22,False,37.27787547594417,0.0816055356447714,49.3,1.2004214601991712e-06,-5.920666249199558,0.0393337508004423,165231308,id+position,0.16770010238881486,165231308,2021,L1.6,"10,37",No,Yes,0.0925,,0.3313,0.00014,0.0121,0.00021,9.95E-44,33.102,-50.738,-20.268,42.682,-40.218,-13.258,0.629,1.702,0.814,SIMBAD,THIN-DISK,0.987
28,2MASS 0523-14,2MASS J05233822-1403022,L2.5,13.08,0.34,-6.52,False,False,True,False,2010,21,False,36.12976612157903,0.0790921928738777,5.1,9.237313951792366e-07,-6.502975378566893,0.0170246214331069,442929628,id+position,0.08067979313102186,442929628,2015,L1.6,"5,6,32",No,No,0.04444,,,,,,,-16.199,-4.143,3.647,-6.619,6.377,10.657,0.798,0.22,0.175,SIMBAD,THIN-DISK,0.986
36,2MASS 0036+18,2MASS J00361617+1821104,L3.5,12.47,1.09,-6.26,True,True,False,False,1880,45,False,66.40783086353596,0.1453743417358464,36.9,5.33072044783962e-07,-6.235787594087784,0.0242124059122161,426959594,id+position,1.7713852245894495,426959594,1940,L2.1,17,No,Yes,0.02378,,0.1283,0.0007,0.014,0.00022,3.64E-54,-40.391,-4.578,-11.398,-30.811,5.942,-4.388,0.221,0.097,0.105,SIMBAD,THIN-DISK,0.988
