name,designation,spt,J,ew_ha,log_lha_lbol,ew_is_limit,logratio_is_limit,is_detection,multi_epoch_lowest,teff_K,vsini_kms,vsini_is_limit,fwhm_kms,fwhm_nm,vtan_kms,chi_rb_per_A,logratio_implied_rb,rb_residual_dex
2MASS 0314+16,2MASS J03140344+1603056,L0.0,12.53,7.72,-4.69,False,False,True,False,2300,19,False,33.89041162334857,0.07418998959664021,16.8,2.5804149991616785e-06,-4.700693142014171,-0.010693142014170931
2MASS 1159+00,2MASS J11593850+0057268,L0.0,14.08,3.31,-5.06,False,False,True,False,2300,71,False,101.59409431654971,0.222401099290047,,2.5804149991616785e-06,-5.068482448574189,-0.008482448574189227
2MASS 1221+02,2MASS J12212770+0257198,L0.0,13.17,5.01,-4.88,False,False,True,True,2300,25,False,40.8166632639171,0.08935234710555498,8.1,2.5804149991616785e-06,-4.888472716482662,-0.008472716482661902
2MASS 1731+27,2MASS J17312974+2721233,L0.0,12.09,5.99,-4.8,False,False,True,True,2300,15,False,29.698484809834994,0.06501338206112747,15.8,2.5804149991616785e-06,-4.810883619960596,-0.010883619960596391
2MASS 1854+84,2MASS J18544597+8429470,L0.0,13.66,7.06,-4.73,False,False,True,False,2300,7,False,23.174123500145587,0.05073080848043064,,2.5804149991616785e-06,-4.739505741298104,-0.009505741298103665
2MASS 2200-30,2MASS J22000201-3038327,L0.0,14.36,3.56,-5.03,False,False,True,False,2300,17,False,31.740195336512972,0.06948292006547654,,2.5804149991616785e-06,-5.036860444377033,-0.006860444377032593
2MASS 0746+20,2MASS J07464256+2000321,L0.5,11.76,2.36,-5.29,False,False,True,True,2250,31,False,48.213691001623175,0.1055452873685877,21.3,2.1745957267466306e-06,-5.289709466756396,0.000290533243603619
2MASS 1412+16,2MASS J14122449+1633115,L0.5,13.89,1.45,-5.5,False,False,True,False,2250,19,False,33.89041162334857,0.07418998959664021,,2.1745957267466306e-06,-5.501253467491527,-0.001253467491527438
2MASS 1441-09,2MASS J14413716-0945590,L0.5,14.02,1.53,-5.48,True,True,False,False,2250,23,False,38.44268460968874,0.08415543614391569,,2.1745957267466306e-06,-5.477930038908904,0.0020699610910961397
2MASS 2351-25,2MASS J23515044-2537367,L0.5,12.47,2.76,-5.22,False,False,True,False,2250,41,False,61.120863868240605,0.13380056592167153,26.4,2.1745957267466306e-06,-5.221712387661285,-0.0017123876612856748
2MASS 0235-23,2MASS J02355993-2331205,L1.0,13.67,0.2,-6.44,True,True,False,False,2200,13,False,27.78920653779089,0.06083375341824445,,1.8316019178466853e-06,-6.436138914735984,0.003861085264015962
2MASS 0602+39,2MASS J06023045+3910592,L1.0,12.3,0.49,-6.05,True,True,False,False,2200,9,False,24.489997958350262,0.053611408263332994,,1.8316019178466853e-06,-6.046972830371452,0.0030271696285479877
2MASS 1022+58,2MASS J10224821+5825453,L1.0,13.5,3.32,-5.22,False,False,True,True,2200,15,False,29.698484809834994,0.06501338206112747,81.9,1.8316019178466853e-06,-5.216030826695929,0.003969173304070317
