ID,ra,dec,pmRA,pmDEC,plx,Tmag,Jmag,Vmag,TWOMASS,GAIA,objType,typeSrc
307956653,256.826281024968,64.6592186016891,227.253,-94.5699,55.363,15.4925,12.539,,17071830+6439331,1.6321135183789942e+18,STAR,tmgaia2
78772202,143.353444865978,-43.8932693148991,,,,13.7508,11.535,,09332510-4353384,5.424690587034891e+18,STAR,tmgaia2
69850453,77.5837107233977,27.2338432369888,-216.0,-629.0,,13.2005,10.698,17.8,05102012+2714032,3.421840993510952e+18,STAR,tmgaia2
7975441,133.400669838841,-3.49227814900325,-516.877,-199.414,115.304,14.3811,11.212,18.84,08533619-0329321,5.761985432616501e+18,STAR,tmgaia2
365006789,164.1205,7.0148,-3848.0,-2731.0,,9.28,7.085,13.5,10562886+0700527,,STAR,2mass
125835702,216.077896116859,-35.2427571909762,,,,14.1128,11.842,,14241870-3514325,6.119528334597735e+18,STAR,tmgaia2
17970570,170.678232279566,37.9301020085137,248.142,12.8847,56.5217,13.3852,11.284,17.25,11224274+3755484,7.639736686230225e+17,STAR,tmgaia2
201688405,300.556020873134,-54.4321968953269,61.1326,-365.0,55.3026,13.8444,11.621,,20021341-5425558,6.473160651658069e+18,STAR,tmgaia2
273369281,340.497368359846,-75.0091828666886,-76.0066,217.115,80.4417,12.4134,10.429,16.04,22415937-7500329,6.381623044470173e+18,STAR,tmgaia2
389051009,333.460271196529,-63.7027804847492,115.671,170.395,72.0956,13.0324,10.923,16.7,22135048-6342100,6.405457982659104e+18,STAR,tmgaia2
281542064,6.84770631647567,-54.0294585803138,401.507,37.9166,41.1135,14.7467,12.363,18.13,00272343-5401461,4.923251780829182e+18,STAR,tmgaia2
117733581,68.8172327499403,-16.1158661383188,172.0,309.0,,12.8441,10.406,,04351612-1606574,3.171631420210205e+18,STAR,tmgaia2
248223026,194.769921881505,-43.6067468400586,1095.0,-274.0,,13.2891,10.534,15.0,12590470-4336243,6.135947032490329e+18,STAR,tmgaia2
232970271,198.599337731567,66.3757676071045,-395.765,60.7495,55.4765,13.5116,11.429,17.16,13142389+6622328,1.6784896475278323e+18,STAR,tmgaia2
220429097,72.9055650497195,-58.3144561359275,-171.886,-692.573,57.1474,14.0127,11.691,16.13,04513734-5818519,4.774420478143249e+18,STAR,tmgaia2
366567664,127.635680280748,9.78763845602795,-482.91,-462.94,,14.4526,11.89,19.1,08303256+0947153,5.998915555460671e+17,STAR,tmgaia2
1001036250,209.172765255338,43.7164398878679,-452.512,38.4644,50.0407,14.3457,,,,1.502523188143833e+18,STAR,gaia2
29780677,65.0526829043216,-70.099522068918,214.0,604.0,,13.2324,11.192,15.68,04201249-7005594,4.654435618927744e+18,STAR,tmgaia2
1053225430,212.999629015889,-41.5394611504458,-712.62,-58.5372,111.029,12.027,,,,6.109949904687425e+18,STAR,gaia2
111898820,266.669412397159,-32.2345840234368,205.391,102.975,82.9169,12.4058,10.35,15.6,17464063-3214045,4.0555794640645586e+18,STAR,tmgaia2
436924555,43.3347924225964,27.2259538183659,377.18,115.54,,14.9326,12.496,,02532028+2713332,1.162976512684183e+17,STAR,tmgaia2
187092382,59.333182716491,41.128499370539,-194.0,-23.0,,13.0384,10.903,17.35,03571999+4107426,2.3017176845714074e+17,STAR,tmgaia2
49306639,101.671180593613,-21.8378051322277,-195.568,-50.251,59.9638,13.2818,11.22,16.73,06464109-2150161,2.9260332674026604e+18,STAR,tmgaia2
71678774,90.7259826677204,-9.25103781138808,116.437,-594.362,65.4589,13.0344,10.981,17.13,06025422-0915030,3.005440443830196e+18,STAR,tmgaia2
17992447,171.020361223203,38.1348413274319,125.458,-8.97374,54.1348,15.7313,12.713,,11240487+3808054,7.640726933892515e+17,STAR,tmgaia2
63781635,34.2917450718719,35.4423755623737,548.448,-260.265,96.7195,12.1194,9.983,15.98,02170993+3526330,3.2794432812664986e+17,STAR,tmgaia2
298907057,70.0969838864066,-5.50225809093252,333.113,128.15,102.464,13.173,10.658,,04402325-0530082,3.200303384927513e+18,STAR,tmgaia2
203225829,135.098112217957,21.8346939440755,-515.662,-592.061,156.758,11.7396,9.436,16.2,09002359+2150054,6.851039128570726e+17,STAR,tmgaia2
277539431,163.814180601184,-73.9360254225987,137.0,-178.0,,13.0013,10.63,17.1,10551532-7356091,5.225863906515478e+18,STAR,tmgaia2
808442168,129.509048326252,-58.9328887196021,-61.8187,-317.829,90.0357,12.9205,,,,5.302788969813884e+18,STAR,gaia2
461654150,121.858617661366,32.2194641192085,-372.99,-253.657,52.9698,14.7217,12.168,19.38,08072607+3213101,9.019414528292506e+17,STAR,tmgaia2
405503787,224.473884549694,56.6567967314957,280.183,-646.678,87.2193,12.0777,10.207,16.02,14575374+5639242,1.6128018335874982e+18,STAR,tmgaia2
3664898,127.455636742914,26.7760074390162,-1113.74,-612.371,279.29,10.4956,8.235,14.74,08294949+2646348,7.037900442528507e+17,STAR,tmgaia2
406479664,53.5443714653941,-21.5095421199338,146.17,4.13,,14.1366,11.915,,03341065-2130343,5.100356956302641e+18,STAR,tmgaia2
22535327,107.754095055836,-38.4129850646995,373.628,-782.781,62.95,13.0943,11.086,16.7,07110095-3824460,5.565156633450986e+18,STAR,tmgaia2
320524973,264.971643989763,55.5463436471931,,,,14.4588,12.155,,17395323+5532417,1.421042126620559e+18,STAR,tmgaia2
31381302,88.3602205142272,-71.5638308422149,12.11,397.047,87.5608,12.4884,10.345,16.0,05532643-7133502,4.656782698309778e+18,STAR,tmgaia2
1881309133,298.477008816333,44.4142615467844,441.562,-434.241,213.133,10.1066,,,,2.07907392861282e+18,STAR,gaia2
942944661,160.672340356688,-24.2678059644125,40.787,156.582,96.1493,12.662,,,,5.471345889049823e+18,STAR,gaia2
176287658,1.67998845411303,-7.5380623171699,-811.48,-1892.9,206.213,10.2531,8.323,,00064325-0732147,2441630500517079808,STAR,tmgaia2
121013320,286.700312769181,40.1857207854263,438.346,-179.978,59.571,16.2992,13.078,,19064801+4011089,2100693797539808896,STAR,tmgaia2
371080717,108.516420084278,37.0460875312372,-88.0,-176.0,,14.5158,11.976,19.7,07140394+3702459,898275195732381440,STAR,tmgaia2
426959594,9.0670583853668,18.3528029938392,918.0,137.0,,15.9261,12.466,,00361617+1821104,2794735086363871360,STAR,tmgaia2
423319208,140.762363702561,-23.0115433641917,-6.43039,3.09348,,11.8082,10.903,12.576,09230296-2300415,5674971525503692160,STAR,tmgaia2
286447344,72.2693169040128,51.6447718793492,-30.0,-379.0,,14.2214,11.822,19.02,04490464+5138412,260343119139306240,STAR,tmgaia2
35025268,48.5519522543735,28.67765485286,311.276,-750.47,66.9947,13.0239,10.993,16.73,03141241+2840411,121843656638575872,STAR,tmgaia2
278335977,324.570733275914,52.9552255402888,218.562,26.9263,54.7953,14.115,11.845,18.62,21381698+5257188,2173367633501430272,STAR,tmgaia2
138860476,178.177535962902,24.6355301961875,-468.517,37.7997,45.4084,16.0973,13.027,,11524266+2438079,4004600401251919488,STAR,tmgaia2
125529556,144.847145542673,29.724198748306,-430.135,-79.3057,50.5727,14.2011,11.984,18.22,09392335+2943271,696501553469122304,STAR,tmgaia2
311088146,219.534457259688,64.1434170156746,643.752,-206.268,58.7,16.1678,12.985,,14380829+6408363,1668664785283445760,STAR,tmgaia2
452882423,2.88258351611491,59.1444121685158,-905.704,-1166.81,107.421,11.9278,9.945,15.87,00113182+5908400,423027104407576576,STAR,tmgaia2
257870150,43.2537138886032,16.8812894655107,3429.53,-3806.16,261.015,10.565,8.394,15.13,02530084+1652532,35227046884571776,STAR,tmgaia2
347994537,64.967129112832,42.5584367122582,543.0,-1439.0,,13.7695,11.094,18.97,04195212+4233304,229155579195699456,STAR,tmgaia2
4609881,348.977110030553,-6.46289833013818,315.543,-44.6305,59.4126,13.2175,11.111,16.94,23155449-0627462,2631857350835259392,STAR,tmgaia2
12774230,337.226453639775,-13.4220718519676,-328.102,-1044.81,91.8949,13.0892,10.768,17.39,22285440-1325178,2601148128510120576,STAR,tmgaia2
356700988,254.515872610643,70.450475841636,-142.0,-316.0,,16.6426,13.288,,16580380+7027015,1649407285800074240,STAR,tmgaia2
237091400,231.103163753321,29.4254281753835,-56.779,-629.036,76.4976,13.5524,11.206,18.65,15242475+2925318,1272178319624018816,STAR,tmgaia2
381983159,283.949463145163,-69.2374800801262,458.964,-693.19,86.1196,12.6336,10.466,16.41,18554792-6914153,6421389047155380352,STAR,tmgaia2
316993844,279.887854911909,29.8712137097252,77.0,-215.0,,13.3428,11.011,17.93,18393308+2952164,4587614930058979584,STAR,tmgaia2
401945077,57.7501981106468,-0.879246830830049,-8.44,-446.35,,13.6154,11.302,17.2,03510004-0052452,3257243312560240000,STAR,tmgaia2
165231308,178.914733494813,-37.4598627976295,43.08,-790.911,84.5693,16.1114,12.811,,11553952-3727350,3460806448649173504,STAR,tmgaia2
357237802,155.700926239737,58.4292763403802,-810.78,-736.956,54.3331,16.7731,13.499,,10224821+5825453,1047188004010109440,STAR,tmgaia2
32704517,86.0480125795803,-24.5506977120416,183.426,-678.315,48.4871,15.1153,12.532,,05441150-2433018,2915187925218983296,STAR,tmgaia2
313007938,137.804034657882,74.0189258794206,-191.054,-154.319,40.0842,15.7752,12.921,,09111297+7401081,1123855296251645824,STAR,tmgaia2
270511002,135.8373,5.6707,-52.0,-377.0,,12.883,10.766,16.63,09032096+0540145,,STAR,2mass
58998044,104.870069163517,19.3488494370567,909.014,-894.576,129.002,11.2469,9.16,,06592868+1920577,3365063724883180288,STAR,tmgaia2
121204333,128.127012336498,-1.57737383334971,159.582,-471.98,49.09,14.2072,12.035,18.61,08323047-0134380,3073118648694573312,STAR,tmgaia2
336209523,281.328672187,38.8901726692273,201.021,353.913,54.8906,14.7072,12.214,19.46,18451889+3853248,2098118397710725248,STAR,tmgaia2
308243298,46.5473923236405,-36.7984465713839,2.0,-569.0,,14.4462,11.69,15.94,03061159-3647528,5047423236725995136,STAR,tmgaia2
399044334,187.438791393279,7.87721876563308,-441.0,51.0,,14.1885,12.064,18.44,12294530+0752379,3901165013100805248,STAR,tmgaia2
98664371,185.96698899968,-8.97875048700669,-231.606,-275.779,52.261,14.0284,11.856,18.34,12235208-0858432,3582675080520660992,STAR,tmgaia2
175516858,45.526485025226,-39.8477528302774,-546.501,-644.228,70.1016,12.5308,10.705,15.958,03020638-3950516,5044297634405581696,STAR,tmgaia2
159508739,246.859490436883,81.0869797853328,,,,16.1068,13.027,,16272794+8105075,1710380123298255232,STAR,tmgaia2
167670065,216.366595758765,-36.839792012577,-283.863,-469.283,84.5181,17.6136,13.747,,14252798-3650229,6118581861234228352,STAR,tmgaia2
38141631,170.83185110578,-5.15133038850005,-27.3596,-161.294,46.7521,13.9394,11.793,18.27,11231964-0509045,3786550031235785344,STAR,tmgaia2
326160197,188.071355917037,-68.9339576737253,,,,15.1074,12.423,,12321772-6856005,5856405272135505024,STAR,tmgaia2
189640779,144.231881158728,-26.1617520633768,36.4666,-27.2335,54.043,14.7778,12.265,,09365564-2609422,5661194163772723072,STAR,tmgaia2
154383758,217.657466547475,59.7235630688848,-809.0,160.0,,13.094,10.79,18.37,14303787+5943249,1618010323247026560,STAR,tmgaia2
405981059,193.800590839002,-59.4714206577533,24.7012,-386.606,57.9215,13.2655,11.154,17.7,12551214-5928172,6056881391901174528,STAR,tmgaia2
318801864,110.013380135982,-8.78105451924543,,,,13.7981,10.628,,07200325-0846499,3048443305671969152,STAR,gaia2
128325971,117.818313124895,-25.5119561690271,-878.992,145.964,56.5689,16.4057,13.161,,07511645-2530432,5602408602804816768,STAR,tmgaia2
380544811,173.728894945387,0.381700542470218,393.166,-329.377,40.8403,15.5077,12.853,,11345493+0022541,3797370909280252160,STAR,tmgaia2
452811808,72.8085961877895,3.09124697136283,259.394,29.2443,39.7742,15.2041,12.734,,04511406+0305285,3233120164884973824,STAR,tmgaia2
408413037,357.664815275774,8.10657339554653,373.782,285.875,47.2862,14.4575,12.271,19.36,23503956+0806237,2758618568934035456,STAR,tmgaia2
